iteration,k,beta,rho,rmse
1,9,0.2,0.5,11.6368148563
1,9,0.2,0.6,9.48767446041
1,9,0.2,0.7,8.71443706348
1,9,0.3,0.5,36.7090240495
1,9,0.3,0.6,33.2322287346
1,9,0.3,0.7,31.4319088401
1,9,0.4,0.5,62.3916049908
1,9,0.4,0.6,59.1703555845
1,9,0.4,0.7,58.0122188853
1,10,0.2,0.5,13.3565731633
1,10,0.2,0.6,10.2485712825
1,10,0.2,0.7,9.31678556871
1,10,0.3,0.5,42.6195848564
1,10,0.3,0.6,40.2247705608
1,10,0.3,0.7,38.1229948981
1,10,0.4,0.5,67.5207154879
1,10,0.4,0.6,66.1291884622
1,10,0.4,0.7,64.7276260958
1,11,0.2,0.5,21.3370266595
1,11,0.2,0.6,19.4606675117
1,11,0.2,0.7,17.9676577958
1,11,0.3,0.5,49.8302884466
1,11,0.3,0.6,48.2743771235
1,11,0.3,0.7,46.6266300877
1,11,0.4,0.5,73.608969698
1,11,0.4,0.6,72.6619810263
1,11,0.4,0.7,71.4974620529
2,8,0.1,0.6,12.5642179754
2,8,0.1,0.7,12.7138748355
2,8,0.1,0.8,12.9019455897
2,8,0.2,0.6,5.6649754339
2,8,0.2,0.7,5.80215477215
2,8,0.2,0.8,6.61912985218
2,8,0.3,0.6,24.950911139
2,8,0.3,0.7,23.1426261834
2,8,0.3,0.8,21.0173093743
2,9,0.1,0.6,11.5125279587
2,9,0.1,0.7,12.000460269
2,9,0.1,0.8,12.3760031243
2,9,0.2,0.6,9.48767446041
2,9,0.2,0.7,8.71443706348
2,9,0.2,0.8,8.50775411022
2,9,0.3,0.6,33.2322287346
2,9,0.3,0.7,31.4319088401
2,9,0.3,0.8,29.9244136673
2,10,0.1,0.6,11.7454544399
2,10,0.1,0.7,12.1432587609
2,10,0.1,0.8,12.3514638809
2,10,0.2,0.6,10.2485712825
2,10,0.2,0.7,9.31678556871
2,10,0.2,0.8,8.52928484693
2,10,0.3,0.6,40.2247705608
2,10,0.3,0.7,38.1229948981
2,10,0.3,0.8,36.2929674547
3,7,0.1,0.5,12.5935052044
3,7,0.1,0.6,12.8048561101
3,7,0.1,0.7,12.9397830997
3,7,0.2,0.5,6.50760785543
3,7,0.2,0.6,6.57763686035
3,7,0.2,0.7,7.05541494173
3,7,0.3,0.5,21.1496272623
3,7,0.3,0.6,19.2493670892
3,7,0.3,0.7,17.8468411771
3,8,0.1,0.5,12.1387662745
3,8,0.1,0.6,12.5642179754
3,8,0.1,0.7,12.7138748355
3,8,0.2,0.5,6.43785264406
3,8,0.2,0.6,5.6649754339
3,8,0.2,0.7,5.80215477215
3,8,0.3,0.5,27.7258222601
3,8,0.3,0.6,24.950911139
3,8,0.3,0.7,23.1426261834
3,9,0.1,0.5,10.9622312206
3,9,0.1,0.6,11.5125279587
3,9,0.1,0.7,12.000460269
3,9,0.2,0.5,11.6368148563
3,9,0.2,0.6,9.48767446041
3,9,0.2,0.7,8.71443706348
3,9,0.3,0.5,36.7090240495
3,9,0.3,0.6,33.2322287346
3,9,0.3,0.7,31.4319088401
4,7,0.15,0.55,9.56819314186
4,7,0.15,0.6,10.0215680742
4,7,0.15,0.65,10.2471488718
4,7,0.2,0.55,6.49219685469
4,7,0.2,0.6,6.57763686035
4,7,0.2,0.65,6.853446335
4,7,0.25,0.55,10.4006156869
4,7,0.25,0.6,9.74734254383
4,7,0.25,0.65,9.42615899152
4,8,0.15,0.55,8.19219384536
4,8,0.15,0.6,8.6287341675
4,8,0.15,0.65,8.94328239518
4,8,0.2,0.55,5.82837198538
4,8,0.2,0.6,5.6649754339
4,8,0.2,0.65,5.65412356898
4,8,0.25,0.55,14.6233450346
4,8,0.25,0.6,13.6683334756
4,8,0.25,0.65,12.8962963676
4,9,0.15,0.55,6.72037151751
4,9,0.15,0.6,7.10925171871
4,9,0.15,0.65,7.64580930968
4,9,0.2,0.55,10.2978874856
4,9,0.2,0.6,9.48767446041
4,9,0.2,0.65,8.97678301695
4,9,0.25,0.55,21.6890007454
4,9,0.25,0.6,20.6602817019
4,9,0.25,0.65,19.7210589641
5,7,0.15,0.6,10.0215680742
5,7,0.15,0.65,10.2471488718
5,7,0.15,0.7,10.4837362933
5,7,0.2,0.6,6.57763686035
5,7,0.2,0.65,6.853446335
5,7,0.2,0.7,7.05541494173
5,7,0.25,0.6,9.74734254383
5,7,0.25,0.65,9.42615899152
5,7,0.25,0.7,9.08056312498
5,8,0.15,0.6,8.6287341675
5,8,0.15,0.65,8.94328239518
5,8,0.15,0.7,9.34752623247
5,8,0.2,0.6,5.6649754339
5,8,0.2,0.65,5.65412356898
5,8,0.2,0.7,5.80215477215
5,8,0.25,0.6,13.6683334756
5,8,0.25,0.65,12.8962963676
5,8,0.25,0.7,12.1611150805
5,9,0.15,0.6,7.10925171871
5,9,0.15,0.65,7.64580930968
5,9,0.15,0.7,8.14875327888
5,9,0.2,0.6,9.48767446041
5,9,0.2,0.65,8.97678301695
5,9,0.2,0.7,8.71443706348
5,9,0.25,0.6,20.6602817019
5,9,0.25,0.65,19.7210589641
5,9,0.25,0.7,19.1583129042
6,7,0.175,0.625,7.8208933846
6,7,0.175,0.65,8.08387901938
6,7,0.175,0.675,8.2230768775
6,7,0.2,0.625,6.73797101013
6,7,0.2,0.65,6.853446335
6,7,0.2,0.675,6.94231085446
6,7,0.225,0.625,7.24851111149
6,7,0.225,0.65,7.19201918796
6,7,0.225,0.675,7.16317806564
6,8,0.175,0.625,6.6509513104
6,8,0.175,0.65,6.8017929009
6,8,0.175,0.675,7.07184700061
6,8,0.2,0.625,5.56952720914
6,8,0.2,0.65,5.65412356898
6,8,0.2,0.675,5.72884805175
6,8,0.225,0.625,8.22589164367
6,8,0.225,0.65,8.06997852124
6,8,0.225,0.675,7.83650985239
6,9,0.175,0.625,6.17414933412
6,9,0.175,0.65,6.28687362685
6,9,0.175,0.675,6.32416213159
6,9,0.2,0.625,9.11485929677
6,9,0.2,0.65,8.97678301695
6,9,0.2,0.675,8.84968775344
6,9,0.225,0.625,13.9461746248
6,9,0.225,0.65,13.690737258
6,9,0.225,0.675,13.4450156812
7,7,0.175,0.6,7.64528220539
7,7,0.175,0.625,7.8208933846
7,7,0.175,0.65,8.08387901938
7,7,0.2,0.6,6.57763686035
7,7,0.2,0.625,6.73797101013
7,7,0.2,0.65,6.853446335
7,7,0.225,0.6,7.22171355474
7,7,0.225,0.625,7.24851111149
7,7,0.225,0.65,7.19201918796
7,8,0.175,0.6,6.37475803462
7,8,0.175,0.625,6.6509513104
7,8,0.175,0.65,6.8017929009
7,8,0.2,0.6,5.6649754339
7,8,0.2,0.625,5.56952720914
7,8,0.2,0.65,5.65412356898
7,8,0.225,0.6,8.76274043893
7,8,0.225,0.625,8.22589164367
7,8,0.225,0.65,8.06997852124
7,9,0.175,0.6,6.18746366993
7,9,0.175,0.625,6.17414933412
7,9,0.175,0.65,6.28687362685
7,9,0.2,0.6,9.48767446041
7,9,0.2,0.625,9.11485929677
7,9,0.2,0.65,8.97678301695
7,9,0.225,0.6,14.4744282558
7,9,0.225,0.625,13.9461746248
7,9,0.225,0.65,13.690737258
